time	TriggeredState-name	TriggeredState-state	[00].VehicleUpdate-pos.001	[00].VehicleUpdate-pos.002	[00].VehicleUpdate-pos.003	[00].VehicleUpdate-pos.004	[00].VehicleUpdate-pos.005	[00].VehicleUpdate-pos.006	[00].VehicleUpdate-COGPos.001	[00].VehicleUpdate-COGPos.002	[00].VehicleUpdate-COGPos.003	[00].VehicleUpdate-speed.001	[00].VehicleUpdate-speed.002	[00].VehicleUpdate-speed.003	[00].VehicleUpdate-speed.004	[00].VehicleUpdate-speed.005	[00].VehicleUpdate-speed.006	[00].VehicleUpdate-accel.001	[00].VehicleUpdate-accel.002	[00].VehicleUpdate-accel.003	[00].VehicleUpdate-accel.004	[00].VehicleUpdate-accel.005	[00].VehicleUpdate-accel.006	[00].VehicleUpdate-accelerator	[00].VehicleUpdate-brake	Last_TimeMarker
0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
0.05	null	null	-1724.94072061	7461.56488852	-0.00166641012553	-1.57079965276	-0.000420996723044	3.45700463776e-08	-1724.94072556	7460.08481259	0.52510482948	0.00116974220145	-4.63007722828e-07	-0.0515804775059	2.56146837074e-08	-0.0198156125844	1.13904047794e-06	0.0787772834301	-6.0348684201e-06	-1.06707751751	-2.43282983092e-07	-0.424223691225	-1.19035655644e-06	0	0	
0.1	null	null	-1724.94072062	7461.56404541	-0.007186712952	-1.57079965284	-0.0017721952049	8.47053643088e-08	-1724.94072558	7460.0846826	0.52158392153	0.00357025046833	-5.01609747516e-07	-0.0882447361946	-1.74582250878e-08	-0.034516222775	9.3057263939e-07	0.0380918197334	1.11287033633e-06	-0.491325706244	-9.18166790598e-07	-0.224712744355	-3.60893523066e-07	0	0	
0.15	null	null	-1724.94072044	7461.56264083	-0.0158280211011	-1.57079961941	-0.00393085730136	2.18601162338e-07	-1724.94072543	7460.0844229	0.516134823343	0.00500756362453	8.39084805193e-06	-0.0992975234985	4.00873022954e-06	-0.0389808304608	2.95398103844e-06	0.10602375865	0.000150374107761	0.0622777193785	0.000115524191642	0.0166460834444	-4.22639568569e-05	1	0	
0.2	null	null	-1724.94072032	7461.56056798	-0.0233725091748	-1.57079930303	-0.00599091324761	2.48535681862e-07	-1724.94072484	7460.08344906	0.511634415972	0.0250037573278	1.44038021972e-05	-0.0883875712752	6.4490591285e-06	-0.0414613448083	-6.88668524162e-06	-0.0208697654307	7.65168661019e-05	0.35673597455	-3.29527028953e-05	0.292749345303	-0.0001893802837	0	0.276166409254	
0.25	null	null	-1724.94072012	7461.55845957	-0.0294717404036	-1.57079896615	-0.00759079739451	-9.17069107759e-08	-1724.94072396	7460.08219849	0.50789771817	0.0265547204763	2.30088753597e-05	-0.0667264685035	8.35985247249e-06	-0.0240690279752	-7.05820320945e-06	0.0016715831589	7.63334101066e-05	0.531069338322	-3.8477896851e-06	0.436971575022	-8.62841116032e-05	0.0210476424545	0	
0.3	null	null	-1724.94071974	7461.55683151	-0.0329674394885	-1.57079859056	-0.00824202969324	-5.41576210636e-07	-1724.9407228	7460.0809207	0.505363293964	0.0259656533599	2.59460830421e-05	-0.0394858531654	7.07760318619e-06	-0.00323127070442	-1.27025214169e-05	0.0161498226225	4.90348247695e-05	0.584508657455	-2.64831887762e-05	0.395361334085	-2.55472223216e-05	0.0556395240128	0	
0.35	null	null	-1724.94071913	7461.55542711	-0.0337873892698	-1.57079820729	-0.0079166672482	-1.18578761921e-06	-1724.94072128	7460.07934122	0.504063109745	0.0314562991261	2.89348990918e-05	-0.00923223607242	7.22037520973e-06	0.0126748410985	-9.21588070923e-06	0.167786046863	2.62066314463e-05	0.453186899424	5.14339808433e-05	0.155181974173	0.000183755953913	0.0968871042132	0	
0.4	null	null	-1724.94071839	7461.55404793	-0.0327932039496	-1.57079777815	-0.00723886365497	-1.40852823134e-06	-1724.9407198	7460.07759782	0.504056675272	0.0418612211943	3.43779502145e-05	0.00605842238292	1.16575447464e-05	0.0136249894276	2.78093324368e-07	0.272798389196	0.000148690553033	0.199830129743	0.000148414823343	-0.0866444855928	0.000299995590467	0.143639788032	0	
0.45	null	null	-1724.94071749	7461.55193582	-0.0315492823486	-1.57079698427	-0.00671399014244	-1.1255447845e-06	-1724.94071787	7460.07520414	0.504525573406	0.0576976202428	4.72008723591e-05	0.0111825549975	2.27891505347e-05	0.00754872243851	1.07205905806e-05	0.394614636898	0.000315588404192	0.035469610244	0.000312716438202	-0.14150634408	0.000201957926038	0.190450429916	0	
