time	TriggeredState-name	TriggeredState-state	[00].VehicleUpdate-pos.001	[00].VehicleUpdate-pos.002	[00].VehicleUpdate-pos.003	[00].VehicleUpdate-pos.004	[00].VehicleUpdate-pos.005	[00].VehicleUpdate-pos.006	[00].VehicleUpdate-COGPos.001	[00].VehicleUpdate-COGPos.002	[00].VehicleUpdate-COGPos.003	[00].VehicleUpdate-speed.001	[00].VehicleUpdate-speed.002	[00].VehicleUpdate-speed.003	[00].VehicleUpdate-speed.004	[00].VehicleUpdate-speed.005	[00].VehicleUpdate-speed.006	[00].VehicleUpdate-accel.001	[00].VehicleUpdate-accel.002	[00].VehicleUpdate-accel.003	[00].VehicleUpdate-accel.004	[00].VehicleUpdate-accel.005	[00].VehicleUpdate-accel.006	[00].VehicleUpdate-accelerator	[00].VehicleUpdate-brake	Last_TimeMarker
0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
0.05	null	null	-1724.94249505	7784.15033161	-0.00178834299503	-1.57079971568	-0.000433375224344	3.75035846226e-06	-1724.94250204	7782.67026219	0.525001217688	0.00121015042532	-4.98616718687e-05	-0.0521013699472	1.74516387119e-07	-0.0200308375061	0.000124096666696	0.0795898810029	-0.00069422920933	-1.06117808819	-7.2065347922e-05	-0.42260953784	5.172843521e-05	0	0	
0.1	null	null	-1724.94249476	7784.14949419	-0.00726786166912	-1.57079979793	-0.00177489620998	9.15449202539e-06	-1724.94250471	7782.67013281	0.521506768555	0.00357078271918	-5.54357429792e-05	-0.0882398635149	-2.02530031856e-06	-0.0345199815929	9.72208217718e-05	0.0381085760891	0.000214043320739	-0.491383105516	-1.1351725334e-05	-0.224649578333	-0.000737617840059	0	0	
0.15	null	null	-1724.94249481	7784.14808038	-0.0159364065413	-1.57079993844	-0.00395190097081	1.33372862018e-05	-1724.94250716	7782.66987364	0.516057544868	0.00481590442359	-2.76918653981e-05	-0.0993327870965	5.00686155647e-07	-0.0396023280919	4.91488026455e-05	0.0154864219949	0.00066449015867	0.0576463080943	0.000201587608899	0.0681645125151	-0.001030853251	1	0	
0.2	null	null	-1724.94249483	7784.14588571	-0.0236121115534	-1.57079968846	-0.00607198822228	1.48222847587e-05	-1724.94250759	7782.66881017	0.511514569156	0.0510161221027	8.69007908477e-06	-0.0882084965706	1.31447923195e-05	-0.0536648333073	1.48905928654e-05	0.705890119076	0.000603251974098	0.347883492708	0.000103881968244	-0.0141884451732	-0.00107842683792	0.0236556436867	0	
0.25	null	null	-1724.94249487	7784.14176883	-0.0306538274044	-1.57079902648	-0.00830207170595	1.45116875935e-05	-1724.94250649	7782.66589034	0.507765521679	0.0647363960743	3.51827002305e-05	-0.0683379098773	1.69122322404e-05	-0.034511204809	-2.46459585469e-05	0.121490731835	0.000525918672793	0.476262629032	9.6789401141e-05	0.58373939991	-0.000706348801032	0.057664565742	0	
0.3	null	null	-1724.94249484	7784.13737301	-0.0351299545397	-1.57079801573	-0.00933648538212	1.24370694986e-05	-1724.94250388	7782.66205226	0.504815775124	0.0712192133069	5.55090082344e-05	-0.0377156622708	2.03098388738e-05	-0.00306391576305	-4.51780215371e-05	0.121646471322	0.000277104147244	0.591421484947	4.32012893725e-05	0.498062580824	-0.000192936102394	0.0871203914285	0	
0.35	null	null	-1724.9424946	7784.13395475	-0.0357309094244	-1.57079698871	-0.00900115642576	1.03017005044e-05	-1724.942501	7782.65845302	0.503720072135	0.0789035633206	6.42607992631e-05	-0.010707879439	2.34853014263e-05	0.0150828594342	-3.98711999878e-05	0.219449102879	0.000155697518494	0.494605302811	0.000104830629425	0.23317450285	0.00026349464315	0.145621210337	0	
0.4	null	null	-1724.94249405	7784.13030817	-0.0345021789666	-1.57079570279	-0.00816019621249	8.89480983197e-06	-1724.94249781	7782.65435331	0.503707773744	0.0926126390696	7.04270787537e-05	0.00620034849271	3.19665996358e-05	0.0174866914749	-1.67927719303e-05	0.367425918579	0.000223016613745	0.223230645061	0.000268006930128	-0.0946296676993	0.000512530270498	0.21075104177	0	
0.45	null	null	-1724.94249327	7784.12572068	-0.0329994380945	-1.57079383342	-0.00749027184364	8.688458778e-06	-1724.94249416	7782.64940558	0.504221615786	0.114542551339	8.49820571602e-05	0.012093658559	4.86050339532e-05	0.00977497454733	9.81839184533e-06	0.553107857704	0.000500290072523	0.046278052032	0.000460269948235	-0.187666162848	0.000501929142047	0.279230713844	0	
0.5	null	null	-1724.9424922	7784.11844842	-0.0318540223658	-1.57079029925	-0.00721421139032	9.89214046651e-06	-1724.94248851	7782.64198507	0.504959458829	0.152215838432	0.000121456250781	0.0114075597376	8.18562184577e-05	0.000572936842218	3.46548840753e-05	0.809990048409	0.000855202204548	-0.0539557226002	0.000537300831638	-0.142225027084	0.000277364160866	0.349060624838	0	
0.55	null	null	-1724.94249111	7784.11000457	-0.0315060263478	-1.57078556009	-0.00733737337938	1.18592929037e-05	-1724.94248145	7782.63360735	0.505489294926	0.198679476976	0.000176604560693	0.00804871506989	0.000123040052131	-0.00561783649027	5.33552702109e-05	1.13707792759	0.00139206135646	-0.074084982276	0.00108570582233	-0.124456942081	0.000291505537461	0.418794840574	0	
0.6	null	null	-1724.94248985	7784.09892011	-0.0316374511376	-1.57077850971	-0.00768942322357	1.44779054614e-05	-1724.94247117	7782.62271203	0.50587760224	0.255699157715	0.000252581405221	0.00497144693509	0.000177750989678	-0.00852464232594	6.59465440549e-05	1.32877969742	0.00192981574219	-0.052003774792	0.0013594746124	-0.0596046000719	0.000357375189196	0.486874818802	0	
